"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"4320","426","1400000US06037139302","Census Tract 1393.02, Los Angeles County, California"
"4575","511","1400000US06037139303","Census Tract 1393.03, Los Angeles County, California"
"3117","423","1400000US06037139401","Census Tract 1394.01, Los Angeles County, California"
"3101","330","1400000US06037139402","Census Tract 1394.02, Los Angeles County, California"
"2855","414","1400000US06037139502","Census Tract 1395.02, Los Angeles County, California"
"4907","466","1400000US06037139503","Census Tract 1395.03, Los Angeles County, California"
"3476","367","1400000US06037139504","Census Tract 1395.04, Los Angeles County, California"
"5329","608","1400000US06037139600","Census Tract 1396, Los Angeles County, California"
"5030","382","1400000US06037139701","Census Tract 1397.01, Los Angeles County, California"
"5849","292","1400000US06037139702","Census Tract 1397.02, Los Angeles County, California"
"2772","182","1400000US06037139703","Census Tract 1397.03, Los Angeles County, California"
"3084","428","1400000US06037139801","Census Tract 1398.01, Los Angeles County, California"
"3994","270","1400000US06037139802","Census Tract 1398.02, Los Angeles County, California"
"4225","382","1400000US06037141101","Census Tract 1411.01, Los Angeles County, California"
"2925","280","1400000US06037141102","Census Tract 1411.02, Los Angeles County, California"
"3650","351","1400000US06037141201","Census Tract 1412.01, Los Angeles County, California"
"2578","248","1400000US06037141202","Census Tract 1412.02, Los Angeles County, California"
"5654","309","1400000US06037141302","Census Tract 1413.02, Los Angeles County, California"
"3445","373","1400000US06037141303","Census Tract 1413.03, Los Angeles County, California"
"2950","312","1400000US06037141304","Census Tract 1413.04, Los Angeles County, California"
"4732","442","1400000US06037141400","Census Tract 1414, Los Angeles County, California"
"2883","261","1400000US06037141500","Census Tract 1415, Los Angeles County, California"
"3779","339","1400000US06037141600","Census Tract 1416, Los Angeles County, California"
"2963","295","1400000US06037141700","Census Tract 1417, Los Angeles County, California"
"4123","374","1400000US06037143100","Census Tract 1431, Los Angeles County, California"
"3935","447","1400000US06037143200","Census Tract 1432, Los Angeles County, California"
"6072","468","1400000US06037143300","Census Tract 1433, Los Angeles County, California"
"5772","549","1400000US06037143400","Census Tract 1434, Los Angeles County, California"
"4448","299","1400000US06037143500","Census Tract 1435, Los Angeles County, California"
"3825","447","1400000US06037143602","Census Tract 1436.02, Los Angeles County, California"
"2206","193","1400000US06037143603","Census Tract 1436.03, Los Angeles County, California"
"2869","313","1400000US06037143604","Census Tract 1436.04, Los Angeles County, California"
"3485","317","1400000US06037143700","Census Tract 1437, Los Angeles County, California"
"4667","390","1400000US06037143800","Census Tract 1438, Los Angeles County, California"
"4098","299","1400000US06037143901","Census Tract 1439.01, Los Angeles County, California"
"2410","306","1400000US06037143902","Census Tract 1439.02, Los Angeles County, California"
"6574","504","1400000US06037181000","Census Tract 1810, Los Angeles County, California"
"3860","428","1400000US06037181300","Census Tract 1813, Los Angeles County, California"
"4832","561","1400000US06037181400","Census Tract 1814, Los Angeles County, California"
"4035","276","1400000US06037181500","Census Tract 1815, Los Angeles County, California"
"4425","441","1400000US06037181600","Census Tract 1816, Los Angeles County, California"
"4231","339","1400000US06037183101","Census Tract 1831.01, Los Angeles County, California"
"3917","432","1400000US06037183103","Census Tract 1831.03, Los Angeles County, California"
"2152","263","1400000US06037183104","Census Tract 1831.04, Los Angeles County, California"
"3516","524","1400000US06037183220","Census Tract 1832.20, Los Angeles County, California"
"3533","373","1400000US06037183221","Census Tract 1832.21, Los Angeles County, California"
"3308","548","1400000US06037183222","Census Tract 1832.22, Los Angeles County, California"
"3334","337","1400000US06037183300","Census Tract 1833, Los Angeles County, California"
"2835","446","1400000US06037183401","Census Tract 1834.01, Los Angeles County, California"
"3224","498","1400000US06037183402","Census Tract 1834.02, Los Angeles County, California"
"2982","375","1400000US06037183510","Census Tract 1835.10, Los Angeles County, California"
"3990","470","1400000US06037183520","Census Tract 1835.20, Los Angeles County, California"
"3436","393","1400000US06037183610","Census Tract 1836.10, Los Angeles County, California"
"3337","582","1400000US06037183620","Census Tract 1836.20, Los Angeles County, California"
"3700","430","1400000US06037183701","Census Tract 1837.01, Los Angeles County, California"
"2782","340","1400000US06037183702","Census Tract 1837.02, Los Angeles County, California"
"4185","492","1400000US06037183810","Census Tract 1838.10, Los Angeles County, California"
"3126","533","1400000US06037183820","Census Tract 1838.20, Los Angeles County, California"
"6345","560","1400000US06037185100","Census Tract 1851, Los Angeles County, California"
